Country,Year,Population,Taux d'épargne,Taux de croissance démographique,GDP (constant 2015 US$),Gross Fixed Capital Formation (constant 2015 US$),"Population ages 15-64, total",Gross Fixed Capital Formation (% GDP)
Canada,1994,29000663,16.9829901791132,1.09525810706129,930171796213.96,178273270663.746,19605262,19.3942462612315
Canada,1995,29302311,18.9495948122556,1.03476948386834,955122057570.817,175839483849.988,19816807,18.347300032106
Canada,1996,29610218,19.4615675805776,1.04531178311831,971253698607.852,185983837896.99,20041214,18.8067696787985
Canada,1997,29905948,20.1967340150017,0.993788591465188,1012824977566.98,207707218960.409,20265610,20.3001450002481
Canada,1998,30155173,19.7742142760708,0.829909353323744,1052253104690.22,214424696030.184,20470263,20.5549158514426
Canada,1999,30401286,21.0958867819622,0.812842623716166,1106349473421.66,225430945519.033,20688980,20.190352975493
Canada,2000,30685730,23.7746280731218,0.931281553452429,1163199674646.76,236847343317.671,20945109,19.5993356617119
Canada,2001,31020855,22.635489053482,1.0861994547665,1185010810019.45,248260729666.868,21240018,20.1517646904638
Canada,2002,31359199,21.7247371980219,1.08479328329522,1220552310131.93,250731032357.844,21535514,19.974918048031
Canada,2003,31642461,21.943777150402,0.899226809998674,1242600185625.17,263820776329.544,21788580,20.0124009557343
Canada,2004,31938807,23.6605040718316,0.932186964148048,1281025904373.69,286071571590.963,22053537,20.8745968478518
Canada,2005,32242732,24.4517541390569,0.94708626967041,1322152656328.7,312174263272.625,22326837,21.8374293828034
Canada,2006,32571193,24.6172770797873,1.01355939144957,1357030300358.29,331780833103.388,22602298,22.8852031372989
Canada,2007,32888886,24.4043195574877,0.970654173316653,1384848127059.22,342289972130.614,22843813,23.3389957278501
Canada,2008,33247298,24.2474093054808,1.083871149194,1398632992699.8,347856624304.228,23091639,23.4690170424371
Canada,2009,33630069,18.5200134745716,1.14470768476526,1357861634788.53,308497984167.743,23343138,22.3069697467248
Canada,2010,34005902,19.312530097616,1.11135202971694,1399830508747.17,344009999288.996,23575491,23.4612369646456
Canada,2011,34339221,20.8571094113825,0.97540725097113,1443745912933.41,359963818576.504,23745000,23.5104953995433
Canada,2012,34713395,20.9179512281937,1.08374652233653,1469093201563.91,377552208986.279,23900795,24.4941864760659
Canada,2013,35080992,21.5972984025064,1.05338098055318,1503261570659.63,383022487739.809,24030435,24.1872120842224
Canada,2014,35434066,22.1484938947536,1.00142284689661,1546457292386.53,391640690664.39,24143294,24.3893293738975
Canada,2015,35704498,19.5693636315682,0.760300145238936,1556508816217.14,371236410475.862,24192340,23.8505819310485
Canada,2016,36110803,19.1464545719812,1.13153974027004,1572673953080.04,353962171875.718,24335145,22.7723764559748
Canada,2017,36545075,19.845280989292,1.19543575451553,1620386284372.81,365799824610.07,24510756,22.6963325471202
Canada,2018,37072620,19.5829312304021,1.43322615679352,1664832887596.13,374445131361.626,24759072,22.676090231483
Canada,2019,37618495,20.2616339861192,1.46171259938134,1696605089927.38,377352875431.321,25010539,22.579977290439
Canada,2020,38028638,19.4618890023723,1.08436897113225,1611126164920.14,363144870255.406,25151490,23.1842365277416
Canada,2021,38239864,23.2907782447506,0.553902422386893,1696305710720.04,396921235591.177,25152138,24.1776027631546
Canada,2022,38939056,24.074784587365,1.81192255344382,1761102321572.64,387582497054.476,25509499,23.2900708032484
Canada,2023,40097761,21.9245990026732,2.93227401162387,1783097209318.73,375212724878.992,26198809,22.8358931448685
Chile,1990,13437176,23.6651308888531,1.66722675551771,71788871549.5837,9523631617.4401,8626905,23.9795426226257
Chile,1991,13662491,22.6670015566094,1.66290007957355,77391556631.4767,9506718793.10732,8769031,20.9609247285191
Chile,1992,13884577,21.8172247042085,1.61244609996212,86033645570.0678,11790748775.3499,8907272,23.7997963879431
Chile,1993,14102276,21.2469292826327,1.55575470326431,91702216494.85,13907897364.937,9044476,26.5633635676854
Chile,1994,14316256,21.5197558956593,1.50594720365816,96315019535.2754,14768248442.6443,9182558,24.9116831336762
Chile,1995,14527381,24.2350873579146,1.46395387384967,104919125196.922,18238747725.54,9322900,25.7504785064789
Chile,1996,14734046,25.3183263999425,1.41256567140629,112056685776.986,19865415630.7506,9465642,27.8972581437733
Chile,1997,14932434,25.0763597698332,1.33747554386278,120339623821.761,22444884650.7496,9611115,28.6348402029991
Chile,1998,15127799,23.3949811243072,1.29984189219994,125370887061.407,23238874488.9744,9763103,27.5785924606075
Chile,1999,15319313,22.4833162649889,1.25802753178631,125027832950.762,20097720510.2746,9920304,22.4124643537202
Chile,2000,15503635,22.5017242879099,1.19601925947085,131243743560.348,22073999300.6797,10078820,22.0430833648484
Chile,2001,15683849,22.9540068832793,1.15569441781061,135383217068.298,22569037125.2292,10239985,22.48808088332
Chile,2002,15857925,23.1216897090714,1.10379186272101,139719269580.07,23568705900.7994,10404916,22.2745048952077
Chile,2003,16024752,23.5378285885376,1.04651515030085,146318553367.333,25583503696.7007,10574027,22.0896272477707
Chile,2004,16187322,24.4277331850936,1.00938163923532,156084225513.219,28977109189.3105,10747141,21.3985792809068
Chile,2005,16348778,25.1302097472637,0.992481122862039,165194933110.731,35665748848.8948,10923684,23.3687952192739
Chile,2006,16509195,27.6498810374783,0.976434392610197,175189211413.976,37967086198.1681,11101753,21.064706019894
Chile,2007,16671581,27.4342310058876,0.978803488234499,184243394524.547,41980886338.6203,11276141,21.979843266088
Chile,2008,16838988,24.1492077854914,0.999137869915681,191225100455.441,49820898789.7877,11444084,26.8810652985665
Chile,2009,17009731,24.2769372473159,1.00886800592722,189087132634.086,44311906251.5063,11605738,24.1203156039041
Chile,2010,17181464,25.627693745616,1.00455362363927,200151851754.47,49233500296.7726,11762321,23.0154606042546
Chile,2011,17351816,21.6861214946447,0.986604121119825,212609096424.814,56650992420.0365,11912072,24.7203922138749
Chile,2012,17519119,23.4686620904117,0.959562935237505,225695909225.262,63454776827.5596,12049562,26.7526624066607
Chile,2013,17687006,22.6663181534405,0.95374468290385,233163076989.911,64293394414.6263,12176080,26.3486828080418
Chile,2014,17864195,21.6794794791038,0.996818460180589,237342873662.242,61687022446.7888,12298776,25.4735403204734
Chile,2015,18047625,22.7338614190882,1.0215666887643,242450355827.827,61753005219.7252,12418768,25.4703710410631
Chile,2016,18267221,21.0878070345268,1.2094154366484,246700604504.172,60295644485.205,12567064,24.1291976164489
Chile,2017,18558868,19.8421251133435,1.58394825779579,250050047208.954,58290641702.8704,12777948,22.2576646317457
Chile,2018,18893191,19.6037090588864,1.78538584857741,260027117795.385,62075415014.329,13022716,23.0497926474622
Chile,2019,19197744,19.6764006326117,1.59911795256016,261676645409.828,64859828464.6836,13240877,24.5496860909505
Chile,2020,19370624,19.0855486773366,0.896491953505063,245600606661.894,57833106122.7197,13358054,22.5660080465409
